lat_long,State,Code,City
"32.449,-99.732",Texas, TX,Abilene
"44.637,-123.106",Georgia, GA,Albany
"35.107,-106.628",NewMexico, NM,Albuquerque
"38.82,-77.051",Louisiana, LA,Alexandria
"35.199,-101.845",Texas, TX,Amarillo
"61.217,-149.863",Alaska, AK,Anchorage
"33.754,-84.386",Georgia, GA,Atlanta
"33.467,-81.967",Georgia, GA,Augusta
"30.267,-97.732",Texas, TX,Austin
"35.394,-119.044",California, CA,Bakersfield
"39.299,-76.609",Maryland, MD,Baltimore
"44.808,-68.795",Maine, ME,Bangor
"30.471,-91.147",Louisiana, LA,Baton Rouge
"30.08,-94.127",Texas, TX,Beaumont
"47.674,-122.122",Oregon, OR,Redmond
"45.788,-108.488",Montana, MT,Billings
"30.396,-88.885",Mississippi, MS,Biloxi
"33.544,-86.78",Alabama, AL,Birmingham
"43.619,-116.215",Idaho, ID,Boise
"42.361,-71.057",Massachusetts, MA,Boston
"41.375,-83.651",Kentucky, KY,Bowling Green
"42.88,-78.878",NewYork, NY,Buffalo
"44.476,-73.212",Vermont, VT,Burlington
"41.978,-91.666",Iowa, IA,Cedar Rapids
"38.35,-81.633",SouthCarolina, SC,Charleston
"35.227,-80.843",NorthCarolina, NC,Charlotte
"35.046,-85.31",Tennessee, TN,Chattanooga
"41.161,-104.805",Wyoming, WY,Cheyenne
"41.882,-87.622",Illinois, IL,Chicago
"40.587,-122.392",California, CA,Redding
"39.103,-84.512",Ohio, OH,Cincinnati
"35.16,-84.877",Ohio, OH,Cleveland
"38.846,-104.801",Colorado, CO,Colorado Springs
"38.952,-92.329",SouthCarolina, SC,Columbia
"32.492,-84.94",Georgia, GA,Columbus
"27.801,-97.396",Texas, TX,Corpus Christi
"32.779,-96.809",Texas, TX,Dallas
"41.543,-90.591",Iowa, IA,Davenport
"39.759,-84.192",Ohio, OH,Dayton
"39.742,-104.992",Colorado, CO,Denver
"41.62,-93.598",Iowa, IA,Des Moines
"42.331,-83.046",Michigan, MI,Detroit
"31.224,-85.392",Alabama, AL,Dothan
"46.787,-92.1",Minnesota, MN,Duluth
"31.773,-106.461",Texas, TX,El Paso
"42.129,-80.085",Pennsylvania, PA,Erie
"44.052,-123.087",Oregon, OR,Eugene
"37.977,-87.551",Indiana, IN,Evansville
"64.835,-147.777",Alaska, AK,Fairbanks
"46.877,-96.79",NorthDakota, ND,Fargo
"43.016,-83.706",Michigan, MI,Flint
"34.195,-79.763",SouthCarolina, SC,Florence
"36.747,-119.773",California, CA,Fresno
"26.641,-81.872",Florida, FL,Fort Myers
"41.093,-85.139",Indiana, IN,Fort Wayne
"39.071,-108.55",Colorado, CO,Grand Junction
"42.964,-85.67",Michigan, MI,Grand Rapids
"47.506,-111.283",Montana, MT,Great Falls
"44.513,-88.016",Wisconsin, WI,Green Bay
"36.045,-79.766",NorthCarolina, NC,Greensboro
"35.613,-77.366",NorthCarolina, NC,Greenville
"41.764,-72.685",Connecticut, CT,Hartford
"31.3269,-89.29",Mississippi, MS,Hattiesburg
"46.596,-112.027",Montana, MT,Helena
"21.316,-157.858",Hawaii, HI,Honolulu
"29.75,-95.357",Texas, TX,Houston
"34.604,-86.985",Alabama, AL,Decatur
"43.492,-112.033",Idaho, ID,Idaho Falls
"39.791,-86.148",Indiana, IN,Indianapolis
"32.299,-90.185",Mississippi, MS,Jackson
"30.332,-81.656",Florida, FL,Jacksonville
"35.836,-90.705",Arkansas, AR,Jonesboro
"37.084,-94.512",Missouri, MO,Joplin
"39.107,-94.676",Missouri, MO,Kansas City
"35.965,-83.926",Tennessee, TN,Knoxville
"43.801,-91.24",Wisconsin, WI,La Crosse
"40.426,-86.907",Indiana, IN,West Lafayette
"30.217,-92.032",Louisiana, LA,Lafayette
"30.213,-93.219",Louisiana, LA,Lake Charles
"42.733,-84.556",Michigan, MI,Lansing
"36.115,-115.172",Nevada, NV,Las Vegas
"38.048,-84.502",Kentucky, KY,Lexington
"40.807,-96.682",Nebraska, NE,Lincoln
"34.746,-92.29",Arkansas, AR,Little Rock
"34.052,-118.244",California, CA,Los Angeles
"38.329,-85.765",Kentucky, KY,Louisville
"33.577,-101.855",Texas, TX,Lubbock
"32.838,-83.635",Georgia, GA,Macon
"43.073,-89.401",Wisconsin, WI,Madison
"42.327,-122.876",Oregon, OR,Medford
"35.118,-89.971",Tennessee, TN,Memphis
"43.614,-116.399",Mississippi, MS,Meridian
"25.762,-80.192",Florida, FL,Miami
"43.039,-87.906",Wisconsin, WI,Milwaukee
"44.841,-93.297",Minnesota, MN,Bloomington
"30.695,-88.04",Alabama, AL,Mobile
"36.604,-121.898",California, CA,Monterey
"32.362,-86.279",Alabama, AL,Montgomery
"36.174,-86.767",Tennessee, TN,Nashville
"29.951,-90.072",Louisiana, LA,New Orleans
"36.851,-76.286",Virginia, VA,Norfolk
"31.846,-102.368",Texas, TX,Odessa
"35.482,-97.508",Oklahoma, OK,Oklahoma City
"41.257,-95.995",Nebraska, NE,Omaha
"28.538,-81.378",Florida, FL,Orlando
"37.087,-88.604",Kentucky, KY,Paducah
"33.834,-116.546",California, CA,Palm Springs
"33.581,-112.237",Illinois, IL,Peoria
"39.953,-75.165",Pennsylvania, PA,Philadelphia
"33.448,-112.074",Arizona, AZ,Phoenix
"45.523,-122.676",Oregon, OR,Portland
"41.825,-71.419",RhodeIsland, RI,Providence
"42.255,-71.003",Illinois, IL,Quincy
"35.788,-78.643",NorthCarolina, NC,Raleigh
"44.081,-103.231",SouthDakota, SD,Rapid City
"39.531,-119.815",Nevada, NV,Reno
"44.016,-92.475",NewYork, NY,Rochester
"42.259,-89.064",Illinois, IL,Rockford
"38.591,-121.49",California, CA,Sacramento
"40.759,-111.876",Utah, UT,Salt Lake City
"31.443,-100.45",Texas, TX,San Angelo
"29.424,-98.491",Texas, TX,San Antonio
"32.716,-117.161",California, CA,San Diego
"32.076,-81.088",Georgia, GA,Savannah
"47.608,-122.335",Washington, WA,Seattle
"32.524,-93.764",Louisiana, LA,Shreveport
"43.536,-96.732",SouthDakota, SD,Sioux Falls
"41.676,-86.25",Indiana, IN,South Bend
"47.659,-117.426",Washington, WA,Spokane
"39.8,-89.65",Missouri, MO,Springfield
"42.155,-72.6",Massachusetts, MA,Chicopee
"38.627,-90.199",Missouri, MO,St. Louis
"43.089,-76.154",NewYork, NY,Syracuse
"30.455,-84.252",Florida, FL,Tallahassee
"27.973,-82.797",Florida, FL,Clearwater
"41.651,-83.542",Ohio, OH,Toledo
"39.056,-95.695",Kansas, KS,Topeka
"32.253,-110.912",Arizona, AZ,Tucson
"42.563,-114.461",Idaho, ID,Twin Falls
"32.35,-95.3",Texas, TX,Tyler
"28.799,-97.029",Texas, TX,Victoria
"43.975,-75.911",NewYork, NY,Watertown
"26.71,-80.064",Florida, FL,West Palm Beach
"33.931,-98.485",Texas, TX,Wichita Falls
"37.698,-97.315",Kansas, KS,Wichita
"39.739,-75.54",NorthCarolina, NC,Wilmington
"46.602,-120.506",Washington, WA,Yakima
"42.492,-83.024",Ohio, OH,Warren
"41.103,-80.646",Ohio, OH,Youngstown
"32.698,-114.65",Arizona, AZ,Yuma
